RBD,DV_RBD,NOMBRE_ESTABLECIMIENTO,DEPENDENCIA,AREA,COD_REGION,COD_PROV,COD_COM_EST,COMUNA,PRIMERA_PRIORIDAD,SEGUNDA_PRIORIDAD,TERCERA_PRIORIDAD,NO_VULNERABLES,SIN_INFORMACION,TOTAL_MATRICULA_2015,IVE_SINAE_2016
1,9,LICEO POLITECNICO ARICA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,388,24,40,28,0,480,94.2
4,3,LICEO OCTAVIO PALMA PEREZ,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,645,11,257,219,10,1142,79.9
5,1,JOVINA NARANJO FERNANDEZ,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,234,6,95,91,3,429,78.1
7,8,L. POLI. ANTONIO VARAS DE LA BARRA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,742,37,147,67,1,994,93.2
8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,191,36,31,44,1,303,85.1
15,9,LICEO ARTISTICO DR. JUAN NOE CREVANI,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,85,10,17,29,1,142,78.9
25,6,COLEGIO CENTENARIO DE ARICA,MUNICIPAL - DAEM,URBANO,15,151,15101,ARICA,45,0,4,4,0,53,92.5
32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,MUNICIPAL - DAEM,RURAL,15,151,15101,ARICA,82,4,6,6,0,98,93.9
45,0,COLEGIO ITALIANO SANTA ANA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,92,17,51,78,5,243,65.8
50,7,COLEGIO ADVENTISTA DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,90,4,37,47,0,178,73.6
52,3,LICEO DOMINGO SANTA MARIA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,973,92,283,310,9,1667,80.9
56,6,COLEGIO SAN MARCOS DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,55,11,38,153,16,273,38.1
60,4,COLEGIO ALEMAN DE ARICA,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,81,6,46,61,6,200,66.5
67,1,ABRAHAM LINCOLN SCHOOL,PARTICULAR SUBVENCIONADO,URBANO,15,151,15101,ARICA,28,1,23,49,5,106,49.1
72,8,LICEO  VALLE DE CODPA,MUNICIPAL - DAEM,RURAL,15,151,15102,CAMARONES,10,1,0,0,0,11,100.0
78,7,LICEO GRANADEROS,MUNICIPAL - DAEM,RURAL,15,152,15201,PUTRE,25,0,1,1,0,27,96.3
97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,152,38,30,36,1,257,85.6
103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,54,17,23,43,0,137,68.6
106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,ADMINISTRACIÓN DELEGADA,URBANO,1,11,1101,IQUIQUE,161,50,33,67,0,311,78.5
107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,231,51,36,102,1,421,75.5
108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,210,60,33,55,0,358,84.6
109,0,LICEO ELENA DUVAUCHELLE CABEZON,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,92,28,16,18,1,155,87.7
110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,93,21,23,73,1,211,64.9
124,4,LICEO LUIS CRUZ MARTINEZ,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,596,84,132,197,1,1010,80.4
125,2,ESCUELA PROFESOR MANUEL CASTRO RAMOS,MUNICIPAL - CORPORACIÓN,URBANO,1,11,1101,IQUIQUE,52,25,10,25,1,113,77.0
127,9,LICEO MARIA AUXILIADORA,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,47,0,41,167,12,267,33.0
129,5,LICEO SUPERIOR GABRIELA MISTRAL,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,44,8,8,8,1,69,87.0
130,9,COLEGIO NORTH COLLEGE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,31,3,17,56,4,111,45.9
131,7,LICEO PARTICULAR MIXTO ESCASCE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,49,21,16,27,1,114,75.4
132,5,LICEO ACADEMIA IQUIQUE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,104,1,82,408,58,653,28.6
133,3,COLEGIO ADVENTISTA DE IQUIQUE,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,56,11,26,77,3,173,53.8
134,1,LICEO ATENEA,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,37,20,12,31,3,103,67.0
144,9,COLEGIO IQUIQUE YOUNG SCHOOL,PARTICULAR SUBVENCIONADO,URBANO,1,11,1101,IQUIQUE,46,11,10,48,2,117,57.3
161,9,LICEO DE HUARA,MUNICIPAL - DAEM,RURAL,1,14,1404,HUARA,50,0,9,7,1,67,88.1
178,3,LICEO TECNICO PROFESIONAL COLCHANE,MUNICIPAL - DAEM,RURAL,1,14,1403,COLCHANE,23,0,0,0,0,23,100.0
191,0,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,MUNICIPAL - CORPORACIÓN,RURAL,1,14,1401,POZO ALMONTE,360,33,68,134,1,596,77.3
199,6,LICEO DOMINGO LATRILLE LASTAUNOU,MUNICIPAL - DAEM,URBANO,2,23,2301,TOCOPILLA,212,24,25,53,0,314,83.1
200,3,LICEO POLITECNICO DIEGO PORTALES P.,MUNICIPAL - DAEM,URBANO,2,23,2301,TOCOPILLA,443,31,79,156,0,709,78.0
208,9,COLEGIO SAGRADA FAMILIA,PARTICULAR SUBVENCIONADO,URBANO,2,23,2301,TOCOPILLA,126,25,54,192,3,400,51.3
211,9,LICEO  H.C. T.P.  MARIA ELENA,MUNICIPAL - DAEM,URBANO,2,23,2302,MARÍA ELENA,93,25,12,127,4,261,49.8
217,8,LICEO LUIS CRUZ MARTINEZ,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,302,49,155,587,25,1118,45.3
218,6,LICEO FRANCISCO DE AGUIRRE,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,224,73,51,150,7,505,68.9
219,4,LICEO POLITECNICO CESAREO AGUIRRE G.,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,492,119,117,316,3,1047,69.5
220,8,LICEO MINERO AMÉRICA,MUNICIPAL - CORPORACIÓN,URBANO,2,22,2201,CALAMA,431,79,146,499,7,1162,56.5
253,4,COLEGIO ADVENTISTA DE CALAMA,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,49,23,28,138,13,251,39.8
254,2,FUNDACION EDUC.COLEGIO NUESTRA SRA.DE AYQUINA,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,64,18,30,143,5,260,43.1
255,0,COLEGIO  EJERCITO DE SALVACION,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,87,10,21,85,5,208,56.7
256,9,INSTITUTO OBISPO SILVA LEZAETA,PARTICULAR SUBVENCIONADO,URBANO,2,22,2201,CALAMA,47,34,29,297,16,423,26.0
270,4,COMPLEJO EDUCACIONAL TOCONAO,MUNICIPAL - DAEM,RURAL,2,22,2203,SAN PEDRO DE ATACAMA,19,0,1,6,0,26,76.9
279,8,LICEO INDUSTRIAL EULOGIO GORDO MONEO,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,723,89,246,684,11,1753,60.4
280,1,LICEO COMERCIAL JERARDO MUNOZ CAMPO,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,467,189,101,349,7,1113,68.0
283,6,LICEO TECNICO DE ANTOFAGASTA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,420,106,117,267,3,913,70.4
284,4,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,184,65,20,92,2,363,74.1
285,2,LICEO MARTA NAREA DIAZ,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,225,76,46,145,3,495,70.1
286,0,LICEO LA PORTADA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,244,76,54,130,1,505,74.1
287,9,LICEO DOMINGO HERRERA RIVERA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,278,51,130,421,11,891,51.5
304,2,LICEO ANDRES SABELLA,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,127,16,94,346,17,600,39.5
320,4,ESCUELA ARMANDO CARRERA GONZALEZ,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,26,8,6,12,0,52,76.9
329,8,LICEO LIBERTADORES DE CHILE,MUNICIPAL - CORPORACIÓN,URBANO,2,21,2101,ANTOFAGASTA,12,4,5,10,0,31,67.7
335,2,COLEGIO EVANGELICO JOSE LANCASTER,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,43,19,7,17,0,86,80.2
336,0,LICEO EXPERIMENTAL ARTISTICO-APLICACION,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,78,65,31,226,47,447,38.9
337,9,COLEGIO SANTA TERESITA,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,41,7,26,129,11,214,34.6
341,7,ESCUELA PARTICULAR ADVENTISTA,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,72,16,39,122,13,262,48.5
342,5,COLEGIO INGLES SAN JOSE,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,81,22,39,334,37,513,27.7
344,1,COLEGIO SANTA EMILIA,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,40,10,20,168,5,243,28.8
350,6,COLEGIO LIDIA MORENO,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,14,1,11,37,0,63,41.3
356,5,COLEGIO CORAZON DE MARIA,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,46,14,44,184,17,305,34.1
365,4,COLEGIO EAGLE SCHOOL,PARTICULAR SUBVENCIONADO,URBANO,2,21,2101,ANTOFAGASTA,44,16,35,161,18,274,34.7
367,0,COMPLEJO EDUCATIVO JUAN JOSE LATORRE BENAVENT,MUNICIPAL - DAEM,URBANO,2,21,2102,MEJILLONES,191,37,30,112,0,370,69.7
372,7,LICEO POLITECNICO JOSE MIGUEL QUIROZ,MUNICIPAL - DAEM,URBANO,2,21,2104,TALTAL,298,23,36,88,1,446,80.0
373,5,LICEO JUAN CORTES-MONROY CORTES,MUNICIPAL - DAEM,URBANO,2,21,2104,TALTAL,100,11,23,144,1,279,48.0
379,4,LICEO FEDERICO VARELA,MUNICIPAL - DAEM,URBANO,3,32,3201,CHAÑARAL,359,45,72,143,1,620,76.8
384,0,LICEO MANUEL MAGALHAES MEDLING,MUNICIPAL - DAEM,URBANO,3,32,3202,DIEGO DE ALMAGRO,285,22,26,155,0,488,68.2
392,1,LICEO DIEGO DE ALMEIDA,PARTICULAR SUBVENCIONADO,URBANO,3,32,3202,DIEGO DE ALMAGRO,114,33,33,198,15,393,45.8
396,4,INSTITUTO COMERCIAL ALEJANDRO RIVERA DIAZ,MUNICIPAL - DAEM,URBANO,3,31,3101,COPIAPÓ,435,88,76,137,4,740,80.9
399,9,LICEO JOSE ANTONIO CARVAJAL,MUNICIPAL - DAEM,URBANO,3,31,3101,COPIAPÓ,658,159,48,108,2,975,88.7
400,6,LICEO MERCEDES FRITIS MACKENNEY,MUNICIPAL - DAEM,URBANO,3,31,3101,COPIAPÓ,188,14,53,115,4,374,68.2
415,4,LICEO DE MUSICA,MUNICIPAL - DAEM,URBANO,3,31,3101,COPIAPÓ,100,37,31,121,2,291,57.7
429,4,LICEO CATOLICO ATACAMA,PARTICULAR SUBVENCIONADO,URBANO,3,31,3101,COPIAPÓ,125,48,60,314,32,579,40.2
430,8,LICEO POLITECNICO BELEN,PARTICULAR SUBVENCIONADO,URBANO,3,31,3101,COPIAPÓ,152,28,31,64,1,276,76.4
431,6,LICEO SAGRADO CORAZON,PARTICULAR SUBVENCIONADO,URBANO,3,31,3101,COPIAPÓ,83,24,26,69,2,204,65.2
433,2,COLEGIO ADVENTISTA DE COPIAPO,PARTICULAR SUBVENCIONADO,URBANO,3,31,3101,COPIAPÓ,85,19,35,92,3,234,59.4
437,5,ESCUELA TECNICO PROFESIONAL,PARTICULAR SUBVENCIONADO,URBANO,3,31,3101,COPIAPÓ,406,59,161,457,29,1112,56.3
438,3,LICEO MANUEL BLANCO ENCALADA,MUNICIPAL - DAEM,URBANO,3,31,3102,CALDERA,260,21,13,15,0,309,95.1
440,5,COLEGIO PARROQUIAL PADRE NEGRO,PARTICULAR SUBVENCIONADO,URBANO,3,31,3102,CALDERA,260,18,29,49,0,356,86.2
441,3,ESCUELA DE CONCENTRACION,MUNICIPAL - DAEM,URBANO,3,31,3103,TIERRA AMARILLA,45,6,1,3,0,55,94.5
448,0,LICEO PEDRO TRONCOSO MACHUCA,MUNICIPAL - DAEM,URBANO,3,33,3301,VALLENAR,503,50,90,143,3,789,81.5
449,9,LICEO JOSE SANTOS OSSA,MUNICIPAL - DAEM,URBANO,3,33,3301,VALLENAR,616,46,83,129,1,875,85.1
478,2,LICEO SANTA MARTA,PARTICULAR SUBVENCIONADO,URBANO,3,33,3301,VALLENAR,111,6,54,147,3,321,53.3
479,0,LICEO SAN FRANCISCO,PARTICULAR SUBVENCIONADO,URBANO,3,33,3301,VALLENAR,154,14,68,183,4,423,55.8
486,3,LICEO JAPON,MUNICIPAL - DAEM,URBANO,3,33,3304,HUASCO,279,9,38,79,1,406,80.3
516,9,LICEO GABRIELA MISTRAL DE LA SERENA,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,84,46,22,31,0,183,83.1
517,7,LICEO GREGORIO CORDOVEZ,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,208,19,72,131,3,433,69.1
518,5,LICEO TECNICO MARTA BRUNET,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,208,57,47,72,0,384,81.3
526,6,COLEGIO JOSE MANUEL BALMACEDA,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,66,9,30,76,1,182,57.7
530,4,COLEGIO GABRIEL GONZALEZ VIDELA,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,169,51,59,106,3,388,71.9
531,2,COLEGIO PEDRO AGUIRRE CERDA,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,24,2,5,12,1,44,70.5
535,5,COLEGIO JOSE MIGUEL CARRERA,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,64,14,21,42,2,143,69.2
565,7,COLEGIO PARTICULAR ADVENTISTA MARANATA,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,82,18,54,126,6,286,53.8
567,3,COLEGIO SAN FRANCISCO COLL,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,83,8,68,140,2,301,52.8
568,1,COLEGIO SAN ANTONIO,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,29,7,28,83,1,148,43.2
570,3,COLEGIO ELENA BETTINI,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,34,9,30,74,0,147,49.7
573,8,ESCUELA PARTICULAR TERESA VIDELA DE G,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,50,12,51,114,10,237,47.7
574,6,ESCUELA  INDUSTRIAL SALESIANA SAN RAMON,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,275,58,167,271,4,775,64.5
575,4,COLEGIO PROVIDENCIA,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,311,46,177,220,1,755,70.7
578,9,LICEO IGNACIO CARRERA PINTO,MUNICIPAL - CORPORACIÓN,URBANO,4,41,4101,LA SERENA,161,50,27,33,0,271,87.8
579,7,COLEGIO SEMINARIO CONCILIAR,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,89,20,108,212,12,441,49.2
580,0,COLEGIO GERONIMO RENDIC,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,77,10,78,250,34,449,36.7
581,9,ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,31,10,24,89,13,167,38.9
582,7,COLEGIO ANDRES BELLO,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,89,12,69,181,7,358,47.5
583,5,COLEGIO SAGRADOS CORAZONES,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,26,15,35,138,21,235,32.3
589,4,COLEGIO SANTO DOMINGO,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,16,4,12,36,4,72,44.4
590,8,COLEGIO PARTICULAR SAN JOSE,PARTICULAR SUBVENCIONADO,URBANO,4,41,4101,LA SERENA,104,26,74,168,4,376,54.3
609,2,INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO,MUNICIPAL - DAEM,URBANO,4,41,4102,COQUIMBO,379,45,143,124,0,691,82.1
610,6,LICEO INDUSTRIAL JOSE TOMAS DE URMENETA,MUNICIPAL - DAEM,URBANO,4,41,4102,COQUIMBO,500,99,154,156,2,911,82.7
611,4,LICEO DIEGO PORTALES,MUNICIPAL - DAEM,URBANO,4,41,4102,COQUIMBO,231,53,39,53,0,376,85.9
613,0,COLEGIO DE ARTES CLAUDIO ARRAU,MUNICIPAL - DAEM,URBANO,4,41,4102,COQUIMBO,133,23,51,53,0,260,79.6
629,7,COLEGIO PABLO NERUDA,MUNICIPAL - DAEM,RURAL,4,41,4102,COQUIMBO,146,15,61,37,0,259,85.7
646,7,COLEGIO BERNARDO O´HIGGINS,PARTICULAR SUBVENCIONADO,URBANO,4,41,4102,COQUIMBO,281,67,108,130,0,586,77.8
647,5,COLEGIO MANUEL MONTT,PARTICULAR SUBVENCIONADO,URBANO,4,41,4102,COQUIMBO,31,8,25,20,3,87,73.6
648,3,COLEGIO SANTA MARTA,PARTICULAR SUBVENCIONADO,URBANO,4,41,4102,COQUIMBO,70,14,53,154,2,293,46.8
649,1,COLEGIO PARTICULAR GABRIELA MISTRAL,PARTICULAR SUBVENCIONADO,URBANO,4,41,4102,COQUIMBO,89,21,46,117,1,274,56.9
656,4,LICEO PEDRO REGALADO S. VIDELA O.,MUNICIPAL - DAEM,URBANO,4,41,4103,ANDACOLLO,212,13,19,27,1,272,89.7
664,5,COLEGIO PARROQUIAL DE ANDACOLLO,PARTICULAR SUBVENCIONADO,URBANO,4,41,4103,ANDACOLLO,110,2,21,30,0,163,81.6
665,3,LICEO CARLOS ROBERTO MONDACA CORTES,MUNICIPAL - DAEM,URBANO,4,41,4106,VICUÑA,301,29,69,54,0,453,88.1
690,4,COLEGIO ANTONIO VARAS,PARTICULAR SUBVENCIONADO,URBANO,4,41,4106,VICUÑA,146,14,70,66,5,301,76.4
701,3,LICEO ESTELA AVILA DE PERRY,MUNICIPAL - DAEM,URBANO,4,43,4301,OVALLE,257,47,34,37,0,375,90.1
704,8,LICEO ALEJANDRO ALVAREZ JOFRE,MUNICIPAL - DAEM,URBANO,4,43,4301,OVALLE,324,19,172,127,1,643,80.1
705,6,LICEO POLITECNICO DE OVALLE,MUNICIPAL - DAEM,URBANO,4,43,4301,OVALLE,736,39,275,234,2,1286,81.6
763,3,COLEGIO SAN JUAN BAUTISTA,PARTICULAR SUBVENCIONADO,URBANO,4,43,4301,OVALLE,71,7,39,56,1,174,67.2
766,8,COLEGIO SANTA MARIA EUFRASIA,PARTICULAR SUBVENCIONADO,URBANO,4,43,4301,OVALLE,217,28,98,129,0,472,72.7
767,6,COLEGIO PARTICULAR GABRIELA MISTRAL,PARTICULAR SUBVENCIONADO,URBANO,4,43,4301,OVALLE,37,1,17,22,0,77,71.4
768,4,COLEGIO LA PROVIDENCIA,PARTICULAR SUBVENCIONADO,URBANO,4,43,4301,OVALLE,545,42,182,107,1,877,87.7
769,2,COLEGIO SAN VIATOR,PARTICULAR SUBVENCIONADO,URBANO,4,43,4301,OVALLE,97,10,75,156,4,342,53.2
772,2,LICEO AGRICOLA DE OVALLE TADEO PERRY BARN,ADMINISTRACIÓN DELEGADA,URBANO,4,43,4301,OVALLE,241,23,55,53,0,372,85.8
774,9,COLEGIO PICHASCA,MUNICIPAL - DAEM,RURAL,4,43,4305,RÍO HURTADO,79,4,19,6,0,108,94.4
799,4,COLEGIO REPUBLICA DE CHILE,MUNICIPAL - DAEM,URBANO,4,43,4303,MONTE PATRIA,120,22,46,26,1,215,87.4
802,8,LICEO PRESIDENTE EDUARDO FREI MONTALVA,MUNICIPAL - DAEM,URBANO,4,43,4303,MONTE PATRIA,339,77,129,70,0,615,88.6
845,1,LICEO SAMUEL ROMAN ROJAS,MUNICIPAL - DAEM,URBANO,4,43,4302,COMBARBALÁ,316,17,76,67,1,477,85.7
967,9,LICEO DOMINGO ORTIZ DE ROZAS,MUNICIPAL - DAEM,URBANO,4,42,4201,ILLAPEL,205,33,60,82,1,381,78.2
968,7,LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDES,MUNICIPAL - DAEM,URBANO,4,42,4201,ILLAPEL,519,26,130,146,0,821,82.2
982,2,ESCUELA BASICA VILLA LOS NARANJOS,MUNICIPAL - DAEM,URBANO,4,42,4201,ILLAPEL,19,1,4,6,0,30,80.0
987,3,COLEGIO SANTA TERESA,PARTICULAR SUBVENCIONADO,URBANO,4,42,4201,ILLAPEL,105,24,48,130,5,312,56.7
988,1,LICEO PARTICULAR LUIS ALBERTO VERA,PARTICULAR SUBVENCIONADO,URBANO,4,42,4201,ILLAPEL,181,12,44,46,0,283,83.7
1013,8,LICEO DE SALAMANCA,MUNICIPAL - DAEM,URBANO,4,42,4204,SALAMANCA,181,35,60,71,0,347,79.5
1036,7,COLEGIO PARTICULAR SAN FRANCISCO DE ASIS,PARTICULAR SUBVENCIONADO,URBANO,4,42,4204,SALAMANCA,108,23,69,125,1,326,61.3
1048,0,LICEO NICOLAS FEDERICO LOHSE VARGAS,MUNICIPAL - DAEM,URBANO,4,42,4203,LOS VILOS,286,37,55,44,0,422,89.6
1119,3,COLEGIO PARTICULAR SANTA MARIA,PARTICULAR SUBVENCIONADO,URBANO,5,54,5401,LA LIGUA,71,4,39,36,0,150,76.0
1121,5,LICEO PULMAHUE DE LA LIGUA,MUNICIPAL - DAEM,URBANO,5,54,5401,LA LIGUA,404,41,96,64,0,605,89.4
1123,1,ESCUELA GABRIELA MISTRAL,MUNICIPAL - DAEM,URBANO,5,54,5401,LA LIGUA,76,6,26,30,2,140,77.1
1148,7,LICEO JOSE MANUEL BORGONO NUNEZ,MUNICIPAL - DAEM,URBANO,5,54,5404,PETORCA,136,12,29,19,0,196,90.3
1149,5,LICEO CORDILLERA,MUNICIPAL - DAEM,RURAL,5,54,5404,PETORCA,39,5,11,9,0,64,85.9
1164,9,COL. CATOLICO  PDTE.MANUEL MONTT,PARTICULAR SUBVENCIONADO,URBANO,5,54,5404,PETORCA,78,2,21,28,0,129,78.3
1167,3,LICEO Y ESCUELA MUNICIPAL,MUNICIPAL - DAEM,URBANO,5,54,5402,CABILDO,289,63,91,78,0,521,85.0
1183,5,LICEO DE ZAPALLAR,MUNICIPAL - DAEM,URBANO,5,54,5405,ZAPALLAR,144,26,52,63,0,285,77.9
1190,8,COLEGIO PARROQUIAL FRANCISCO DIDIER,PARTICULAR SUBVENCIONADO,URBANO,5,54,5405,ZAPALLAR,30,10,25,50,6,121,53.7
1194,0,LICEO MAXIMILIANO SALAS MARCHAN,MUNICIPAL - DAEM,URBANO,5,53,5301,LOS ANDES,411,78,164,377,17,1047,62.4
1195,9,LICEO COMERCIAL DE LOS ANDES,ADMINISTRACIÓN DELEGADA,URBANO,5,53,5301,LOS ANDES,327,55,129,219,3,733,69.7
1196,7,LICEO TECNICO AMANCAY,MUNICIPAL - DAEM,URBANO,5,53,5301,LOS ANDES,254,40,32,58,0,384,84.9
1198,3,LICEO REPUBLICA ARGENTINA,MUNICIPAL - DAEM,URBANO,5,53,5301,LOS ANDES,57,13,16,13,0,99,86.9
1199,1,LICEO DE HOMBRES AMERICA,MUNICIPAL - DAEM,URBANO,5,53,5301,LOS ANDES,104,14,14,22,1,155,85.2
1213,0,LICEO PARTICULAR MIXTO LOS ANDES,PARTICULAR SUBVENCIONADO,URBANO,5,53,5301,LOS ANDES,687,89,184,369,5,1334,72.0
1214,9,COLEGIO MARIA AUXILIADORA,PARTICULAR SUBVENCIONADO,URBANO,5,53,5301,LOS ANDES,92,14,43,157,17,323,46.1
1226,2,COLEGIO MARIA MONTESSORI ,PARTICULAR SUBVENCIONADO,URBANO,5,53,5301,LOS ANDES,18,6,6,45,16,91,33.0
1255,6,INSTITUTO AGRICOLA PASCUAL BABURIZZA,PARTICULAR SUBVENCIONADO,URBANO,5,53,5302,CALLE LARGA,146,19,35,43,3,246,81.3
1260,2,LICEO PARROQUIAL TERESITA DE LOS ANDES,PARTICULAR SUBVENCIONADO,URBANO,5,53,5303,RINCONADA,75,11,23,18,0,127,85.8
1261,0,LICEO DOCTOR ROBERTO HUMERES O.,MUNICIPAL - DAEM,URBANO,5,57,5701,SAN FELIPE,152,31,18,38,1,240,83.8
1262,9,ESCUELA INDUSTRIAL GUILLERMO RICHARDS CUEVAS,ADMINISTRACIÓN DELEGADA,URBANO,5,57,5701,SAN FELIPE,480,23,203,276,3,985,71.7
1263,7,LICEO DE NINAS CORINA URBINA,MUNICIPAL - DAEM,URBANO,5,57,5701,SAN FELIPE,176,25,36,56,0,293,80.9
1264,5,LICEO SAN FELIPE,MUNICIPAL - DAEM,URBANO,5,57,5701,SAN FELIPE,35,6,2,4,0,47,91.5
1289,0,COLEGIO ASSUNTA PALLOTA,PARTICULAR SUBVENCIONADO,URBANO,5,57,5701,SAN FELIPE,150,23,29,31,0,233,86.7
1290,4,COLEGIO SANTA JUANA DE ARCO,PARTICULAR SUBVENCIONADO,URBANO,5,57,5701,SAN FELIPE,62,1,37,111,1,212,47.2
1291,2,COLEGIO JOSE AGUSTIN GOMEZ,PARTICULAR SUBVENCIONADO,URBANO,5,57,5701,SAN FELIPE,39,0,16,87,7,149,36.9
1294,7,COLEGIO PARTICULAR PUMANQUE,PARTICULAR SUBVENCIONADO,URBANO,5,57,5701,SAN FELIPE,90,7,43,108,0,248,56.5
1300,5,ESCUELA AGRICOLA DE SAN FELIPE,ADMINISTRACIÓN DELEGADA,URBANO,5,57,5701,SAN FELIPE,140,25,35,47,0,247,81.0
