RBD,DV_RBD,NOMBRE_ESTABLECIMIENTO,DEPENDENCIA,AREA,COD_REGION,COD_PROV,COD_COM_EST,COMUNA,PRIMERA_PRIORIDAD,SEGUNDA_PRIORIDAD,TERCERA_PRIORIDAD,NO_VULNERABLES,SIN_INFORMACION,TOTAL_MATRICULA_2015,IVE_SINAE_2016
24482,1,LICEO POLITECNICO PARTICULAR ANDES,PARTICULAR SUBVENCIONADO,URBANO,13,131,13128,RENCA,550,48,243,475,4,1320,63.7
24486,4,COLEGIO POLIVALENTE SAN RAFAEL,PARTICULAR SUBVENCIONADO,URBANO,13,131,13115,LO BARNECHEA,32,5,25,111,4,177,35.0
24496,1,COLEGIO COMERCIAL DE PENAFLOR,PARTICULAR SUBVENCIONADO,URBANO,13,136,13605,PEÑAFLOR,106,18,52,58,1,235,74.9
24498,8,COLEGIO SAN JOAQUIN,PARTICULAR SUBVENCIONADO,URBANO,13,131,13128,RENCA,79,5,17,44,0,145,69.7
24599,2,COLEGIO LONDON ANEXO,PARTICULAR SUBVENCIONADO,URBANO,13,131,13110,LA FLORIDA,252,43,47,95,3,440,77.7
24623,9,ESCUELA JORGE ALESSANDRI RODRIGUEZ ANEXO,PARTICULAR SUBVENCIONADO,URBANO,13,131,13128,RENCA,145,21,44,72,1,283,74.2
24625,5,COLEGIO SAN CRISTOBAL COLLEGE,PARTICULAR SUBVENCIONADO,URBANO,13,131,13130,SAN MIGUEL,57,17,31,87,21,213,49.3
24626,3,COMPLEJO EDUCACIONAL ALBERTO WIDMER,PARTICULAR SUBVENCIONADO,URBANO,13,131,13119,MAIPÚ,333,79,170,512,33,1127,51.6
24638,7,LICEO MIGUEL DE CERVANTES Y SAAVEDRA,MUNICIPAL - DAEM,URBANO,13,131,13101,SANTIAGO,289,114,40,126,8,577,76.8
24648,4,COLEGIO LOS NOGALES,PARTICULAR SUBVENCIONADO,URBANO,13,132,13201,PUENTE ALTO,47,9,37,202,15,310,30.0
24652,2,ESCUELA AGROECOLOGICA DE PIRQUE,PARTICULAR SUBVENCIONADO,RURAL,13,132,13202,PIRQUE,190,42,46,89,5,372,74.7
24675,1,COLEGIO SAN MANUEL,PARTICULAR SUBVENCIONADO,URBANO,13,135,13501,MELIPILLA,36,8,30,60,3,137,54.0
24685,9,COLEGIO PIAMARTA,PARTICULAR SUBVENCIONADO,URBANO,13,131,13106,ESTACIÓN CENTRAL,448,161,195,559,12,1375,58.5
24686,7,LICEO POLIVALENTE SANTIAGO DE COMPOSTELA,PARTICULAR SUBVENCIONADO,URBANO,13,134,13401,SAN BERNARDO,269,54,94,130,4,551,75.7
24689,1,CTRO.EDUC.CATOLICO DIDASCALIO STA. MARIA,PARTICULAR SUBVENCIONADO,URBANO,13,131,13112,LA PINTANA,50,6,26,23,1,106,77.4
